pattern,canonical
voting/ballot paper approach (good/alternative/rejected categories recorded as %),Vote
focus group,Focus Group
interview,Interview
questionnaire,Questionnaire
survey,Survey
household survey,Survey
participatory plant breeding|participatory varietal,Participatory Varietal Selection
"pair.?wise comparison|pairwise ranking|pair wise ranking|weighted ranking matrix|ranking matrix, \brank\b, ranking|rank.?based quotient|garrett ranking",Ranking
check.?all.?that.?apply|cata,Check-All-That-Apply
sensory|taste test,Sensory Evaluation
observation|observations|transect walk|problem listing,Participatory Observation/Appraisal
conjoint|market simulation,Market Analysis
case study,Case Study
expert stakeholder consultation,Stakeholder Consultation
collecting germplasm,Germplasm Collection
food basket simulation,Food Basket Simulation
milling quality test|cooking quality test,Functional Quality Test
alternative,Other
baby trials|mother baby trial|mother,Mother-Baby Trial
not reported,Not reported
vote|voting|ballot paper approach,Vote
willingness to pay,Willingness to Pay
choice experiment,Choice Experiment
hedonic pricing,Hedonic Pricing
